,city,category,property,price,currency,min_price,max_price
80,Stuttgart,Markets,Banana (1kg),1.58,€,1.00,3.00
81,Stuttgart,Markets,Oranges (1kg),2.36,€,1.99,5.00
82,Stuttgart,Markets,Tomato (1kg),2.08,€,0.79,4.00
83,Stuttgart,Markets,Potato (1kg),2.08,€,1.00,4.00
84,Stuttgart,Markets,Onion (1kg),1.36,€,0.89,2.50
85,Stuttgart,Markets,Lettuce (1 head),1.26,€,0.89,2.00
86,Stuttgart,Markets,Water (1.5 liter bottle),0.60,€,0.25,1.00
87,Stuttgart,Markets,Bottle of Wine (Mid-Range),5.00,€,3.79,7.00
88,Stuttgart,Markets,Domestic Beer (0.5 liter bottle),0.89,€,0.54,1.30
89,Stuttgart,Markets,Imported Beer (0.33 liter bottle),1.47,€,0.80,3.00
90,Stuttgart,Markets,Cigarettes 20 Pack (Marlboro),7.80,€,7.00,10.00
92,Stuttgart,Transportation,One-way Ticket (Local Transport),2.77,€,2.55,3.17
93,Stuttgart,Transportation,Monthly Pass (Regular Price),73.00,€,60.00,89.00
94,Stuttgart,Transportation,Taxi Start (Normal Tariff),3.50,€,2.60,5.00
95,Stuttgart,Transportation,Taxi 1km (Normal Tariff),2.30,€,1.70,2.50
96,Stuttgart,Transportation,Taxi 1hour Waiting (Normal Tariff),31.50,€,25.80,40.00
97,Stuttgart,Transportation,Gasoline (1 liter),1.98,€,1.67,2.20
98,Stuttgart,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"22,000.00",€,"19,945.00","30,000.00"
99,Stuttgart,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"23,647.50",€,"22,590.00","29,000.00"
101,Stuttgart,Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",220.23,€,160.00,350.00
102,Stuttgart,Utilities (Monthly),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.09,€,0.05,0.11
103,Stuttgart,Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",33.06,€,25.00,50.00
105,Stuttgart,Internet (60 Mbps,"Fitness Club, Monthly Fee for 1 Adult",44.65,€,20.00,80.00
106,Stuttgart,Internet (60 Mbps,Tennis Court Rent (1 Hour on Weekend),20.14,€,15.00,23.00
107,Stuttgart,Internet (60 Mbps,"Cinema, International Release, 1 Seat",12.00,€,11.50,15.00
109,Stuttgart,Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",402.86,€,250.00,650.00
110,Stuttgart,Childcare,"International Primary School, Yearly for 1 Child","11,842.91",€,"6,014.55","18,000.00"
112,Stuttgart,Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),77.67,€,54.00,100.00
113,Stuttgart,Clothing And Shoes,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",29.00,€,17.00,50.00
114,Stuttgart,Clothing And Shoes,1 Pair of Nike Running Shoes (Mid-Range),67.22,€,59.99,80.00
115,Stuttgart,Clothing And Shoes,1 Pair of Men Leather Business Shoes,90.62,€,69.00,120.00
117,Stuttgart,Rent Per Month,Apartment (1 bedroom) in City Centre,966.79,€,830.00,"1,200.00"
118,Stuttgart,Rent Per Month,Apartment (1 bedroom) Outside of Centre,789.95,€,615.00,"1,100.00"
119,Stuttgart,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,830.19",€,"1,492.00","3,000.00"
120,Stuttgart,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,306.39",€,"1,100.00","2,400.00"
122,Stuttgart,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment in City Centre,"7,778.67",€,"6,780.00","10,000.00"
123,Stuttgart,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment Outside of Centre,"5,371.11",€,"4,500.00","8,000.00"
125,Karlsruhe,Restaurants,"Meal, Inexpensive Restaurant",11.00,€,8.00,15.00
126,Karlsruhe,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",65.00,€,45.00,120.00
127,Karlsruhe,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),8.95,€,8.00,9.00
128,Karlsruhe,Restaurants,Domestic Beer (0.5 liter draught),4.00,€,3.00,5.00
129,Karlsruhe,Restaurants,Imported Beer (0.33 liter bottle),3.75,€,3.00,4.00
130,Karlsruhe,Restaurants,Cappuccino (regular),2.92,€,1.50,3.50
131,Karlsruhe,Restaurants,Coke/Pepsi (0.33 liter bottle),2.88,€,2.50,3.50
132,Karlsruhe,Restaurants,Water (0.33 liter bottle),2.00,€,1.50,2.50
134,Karlsruhe,Markets,"Milk (regular), (1 liter)",1.02,€,0.70,1.39
135,Karlsruhe,Markets,Loaf of Fresh White Bread (500g),1.16,€,0.70,2.50
136,Karlsruhe,Markets,"Rice (white), (1kg)",2.10,€,1.00,3.00
137,Karlsruhe,Markets,Eggs (regular) (12),2.62,€,1.79,3.60
138,Karlsruhe,Markets,Local Cheese (1kg),12.52,€,6.00,15.00
139,Karlsruhe,Markets,Chicken Fillets (1kg),7.82,€,6.29,10.00
140,Karlsruhe,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),23.67,€,20.00,26.00
141,Karlsruhe,Markets,Apples (1kg),2.33,€,1.80,2.99
142,Karlsruhe,Markets,Banana (1kg),1.59,€,1.30,1.99
143,Karlsruhe,Markets,Oranges (1kg),1.92,€,1.35,4.00
144,Karlsruhe,Markets,Tomato (1kg),0.79,€,0.79,0.79
145,Karlsruhe,Markets,Potato (1kg),2.17,€,1.50,2.50
